"year_quarter","Tasking_Location","base","score"
"2019 Oct to Dec","Other","Newquay",43
"2019 Oct to Dec","Other","Prestwick",48
"2019 Oct to Dec","Other","St Athan",23
"2019 Oct to Dec","Other","Stornoway",8
"2019 Oct to Dec","Other","Sumburgh",49
"2019 Oct to Dec","Vessel","Caernarfon",6
"2019 Oct to Dec","Vessel","Humberside",4
"2019 Oct to Dec","Vessel","Inverness",4
"2019 Oct to Dec","Vessel","Lee On Solent",8
"2019 Oct to Dec","Vessel","Lydd",4
"2019 Oct to Dec","Vessel","Newquay",8
"2019 Oct to Dec","Vessel","Prestwick",2
"2019 Oct to Dec","Vessel","St Athan",2
"2019 Oct to Dec","Vessel","Stornoway",0
"2019 Oct to Dec","Vessel","Sumburgh",20
"2020 Jan to Mar","Beach/Cliff","Caernarfon",6
"2020 Jan to Mar","Beach/Cliff","Humberside",10
"2020 Jan to Mar","Beach/Cliff","Inverness",3
"2020 Jan to Mar","Beach/Cliff","Lee On Solent",12
"2020 Jan to Mar","Beach/Cliff","Lydd",27
"2020 Jan to Mar","Beach/Cliff","Newquay",10
"2020 Jan to Mar","Beach/Cliff","Prestwick",9
"2020 Jan to Mar","Beach/Cliff","St Athan",17
"2020 Jan to Mar","Beach/Cliff","Stornoway",0
"2020 Jan to Mar","Beach/Cliff","Sumburgh",0
"2020 Jan to Mar","Mountain","Caernarfon",21
"2020 Jan to Mar","Mountain","Humberside",1
"2020 Jan to Mar","Mountain","Inverness",29
"2020 Jan to Mar","Mountain","Lee On Solent",0
"2020 Jan to Mar","Mountain","Lydd",0
"2020 Jan to Mar","Mountain","Newquay",0
"2020 Jan to Mar","Mountain","Prestwick",20
"2020 Jan to Mar","Mountain","St Athan",5
"2020 Jan to Mar","Mountain","Stornoway",3
"2020 Jan to Mar","Mountain","Sumburgh",0
"2020 Jan to Mar","Other","Caernarfon",13
"2020 Jan to Mar","Other","Humberside",13
"2020 Jan to Mar","Other","Inverness",22
"2020 Jan to Mar","Other","Lee On Solent",44
"2020 Jan to Mar","Other","Lydd",11
"2020 Jan to Mar","Other","Newquay",23
"2020 Jan to Mar","Other","Prestwick",44
"2020 Jan to Mar","Other","St Athan",24
"2020 Jan to Mar","Other","Stornoway",19
"2020 Jan to Mar","Other","Sumburgh",30
"2020 Jan to Mar","Vessel","Caernarfon",1
"2020 Jan to Mar","Vessel","Humberside",2
"2020 Jan to Mar","Vessel","Inverness",9
"2020 Jan to Mar","Vessel","Lee On Solent",5
"2020 Jan to Mar","Vessel","Lydd",9
"2020 Jan to Mar","Vessel","Newquay",5
"2020 Jan to Mar","Vessel","Prestwick",1
"2020 Jan to Mar","Vessel","St Athan",1
"2020 Jan to Mar","Vessel","Stornoway",5
"2020 Jan to Mar","Vessel","Sumburgh",3
"2020 Apr to Jun","Beach/Cliff","Caernarfon",13
"2020 Apr to Jun","Beach/Cliff","Humberside",14
"2020 Apr to Jun","Beach/Cliff","Inverness",6
"2020 Apr to Jun","Beach/Cliff","Lee On Solent",25
"2020 Apr to Jun","Beach/Cliff","Lydd",40
"2020 Apr to Jun","Beach/Cliff","Newquay",30
"2020 Apr to Jun","Beach/Cliff","Prestwick",17
"2020 Apr to Jun","Beach/Cliff","St Athan",25
"2020 Apr to Jun","Beach/Cliff","Stornoway",1
"2020 Apr to Jun","Beach/Cliff","Sumburgh",1
"2020 Apr to Jun","Mountain","Caernarfon",1
"2020 Apr to Jun","Mountain","Humberside",1
"2020 Apr to Jun","Mountain","Inverness",4
"2020 Apr to Jun","Mountain","Lee On Solent",0
"2020 Apr to Jun","Mountain","Lydd",0
"2020 Apr to Jun","Mountain","Newquay",0
"2020 Apr to Jun","Mountain","Prestwick",3
"2020 Apr to Jun","Mountain","St Athan",1
"2020 Apr to Jun","Mountain","Stornoway",0
"2020 Apr to Jun","Mountain","Sumburgh",0
"2020 Apr to Jun","Other","Caernarfon",11
"2020 Apr to Jun","Other","Humberside",17
"2020 Apr to Jun","Other","Inverness",8
"2020 Apr to Jun","Other","Lee On Solent",34
"2020 Apr to Jun","Other","Lydd",17
"2020 Apr to Jun","Other","Newquay",32
"2020 Apr to Jun","Other","Prestwick",36
"2020 Apr to Jun","Other","St Athan",14
"2020 Apr to Jun","Other","Stornoway",14
"2020 Apr to Jun","Other","Sumburgh",10
"2020 Apr to Jun","Vessel","Caernarfon",2
"2020 Apr to Jun","Vessel","Humberside",8
"2020 Apr to Jun","Vessel","Inverness",4
"2020 Apr to Jun","Vessel","Lee On Solent",13
"2020 Apr to Jun","Vessel","Lydd",17
"2020 Apr to Jun","Vessel","Newquay",7
"2020 Apr to Jun","Vessel","Prestwick",1
"2020 Apr to Jun","Vessel","St Athan",3
"2020 Apr to Jun","Vessel","Stornoway",3
"2020 Apr to Jun","Vessel","Sumburgh",6
"2020 Jul to Sep","Beach/Cliff","Caernarfon",23
"2020 Jul to Sep","Beach/Cliff","Humberside",23
"2020 Jul to Sep","Beach/Cliff","Inverness",12
"2020 Jul to Sep","Beach/Cliff","Lee On Solent",36
"2020 Jul to Sep","Beach/Cliff","Lydd",45
"2020 Jul to Sep","Beach/Cliff","Newquay",38
"2020 Jul to Sep","Beach/Cliff","Prestwick",27
"2020 Jul to Sep","Beach/Cliff","St Athan",50
"2020 Jul to Sep","Beach/Cliff","Stornoway",8
"2020 Jul to Sep","Beach/Cliff","Sumburgh",3
"2020 Jul to Sep","Mountain","Caernarfon",62
"2020 Jul to Sep","Mountain","Humberside",6
"2020 Jul to Sep","Mountain","Inverness",39
"2020 Jul to Sep","Mountain","Lee On Solent",1
"2020 Jul to Sep","Mountain","Lydd",0
"2020 Jul to Sep","Mountain","Newquay",0
"2020 Jul to Sep","Mountain","Prestwick",44
"2020 Jul to Sep","Mountain","St Athan",7
"2020 Jul to Sep","Mountain","Stornoway",18
"2020 Jul to Sep","Mountain","Sumburgh",0
"2020 Jul to Sep","Other","Caernarfon",29
"2020 Jul to Sep","Other","Humberside",25
"2020 Jul to Sep","Other","Inverness",37
"2020 Jul to Sep","Other","Lee On Solent",41
"2020 Jul to Sep","Other","Lydd",21
"2020 Jul to Sep","Other","Newquay",41
"2020 Jul to Sep","Other","Prestwick",69
"2020 Jul to Sep","Other","St Athan",36
"2020 Jul to Sep","Other","Stornoway",27
"2020 Jul to Sep","Other","Sumburgh",32
"2020 Jul to Sep","Vessel","Caernarfon",6
"2020 Jul to Sep","Vessel","Humberside",14
"2020 Jul to Sep","Vessel","Inverness",11
"2020 Jul to Sep","Vessel","Lee On Solent",15
"2020 Jul to Sep","Vessel","Lydd",8
"2020 Jul to Sep","Vessel","Newquay",8
"2020 Jul to Sep","Vessel","Prestwick",3
"2020 Jul to Sep","Vessel","St Athan",6
"2020 Jul to Sep","Vessel","Stornoway",7
"2020 Jul to Sep","Vessel","Sumburgh",5
"2020 Oct to Dec","Beach/Cliff","Caernarfon",8
"2020 Oct to Dec","Beach/Cliff","Humberside",13
"2020 Oct to Dec","Beach/Cliff","Inverness",4
"2020 Oct to Dec","Beach/Cliff","Lee On Solent",11
"2020 Oct to Dec","Beach/Cliff","Lydd",15
"2020 Oct to Dec","Beach/Cliff","Newquay",17
"2020 Oct to Dec","Beach/Cliff","Prestwick",11
"2020 Oct to Dec","Beach/Cliff","St Athan",16
"2020 Oct to Dec","Beach/Cliff","Stornoway",2
"2020 Oct to Dec","Beach/Cliff","Sumburgh",0
"2020 Oct to Dec","Mountain","Caernarfon",14
"2020 Oct to Dec","Mountain","Humberside",4
"2020 Oct to Dec","Mountain","Inverness",20
"2020 Oct to Dec","Mountain","Lee On Solent",0
"2020 Oct to Dec","Mountain","Lydd",0
"2020 Oct to Dec","Mountain","Newquay",0
"2020 Oct to Dec","Mountain","Prestwick",18
"2020 Oct to Dec","Mountain","St Athan",4
"2020 Oct to Dec","Mountain","Stornoway",3
"2020 Oct to Dec","Mountain","Sumburgh",0
"2020 Oct to Dec","Other","Caernarfon",14
"2020 Oct to Dec","Other","Humberside",11
"2020 Oct to Dec","Other","Inverness",17
"2020 Oct to Dec","Other","Lee On Solent",28
"2020 Oct to Dec","Other","Lydd",15
"2020 Oct to Dec","Other","Newquay",31
"2020 Oct to Dec","Other","Prestwick",36
"2020 Oct to Dec","Other","St Athan",19
"2020 Oct to Dec","Other","Stornoway",21
"2020 Oct to Dec","Other","Sumburgh",26
"2020 Oct to Dec","Vessel","Caernarfon",2
"2020 Oct to Dec","Vessel","Humberside",10
"2020 Oct to Dec","Vessel","Inverness",7
"2020 Oct to Dec","Vessel","Lee On Solent",11
"2020 Oct to Dec","Vessel","Lydd",8
"2020 Oct to Dec","Vessel","Newquay",5
"2020 Oct to Dec","Vessel","Prestwick",5
"2020 Oct to Dec","Vessel","St Athan",3
"2020 Oct to Dec","Vessel","Stornoway",2
"2020 Oct to Dec","Vessel","Sumburgh",4
"2021 Jan to Mar","Beach/Cliff","Caernarfon",9
"2021 Jan to Mar","Beach/Cliff","Humberside",7
"2021 Jan to Mar","Beach/Cliff","Inverness",3
"2021 Jan to Mar","Beach/Cliff","Lee On Solent",9
"2021 Jan to Mar","Beach/Cliff","Lydd",12
"2021 Jan to Mar","Beach/Cliff","Newquay",12
"2021 Jan to Mar","Beach/Cliff","Prestwick",9
"2021 Jan to Mar","Beach/Cliff","St Athan",21
"2021 Jan to Mar","Beach/Cliff","Stornoway",3
"2021 Jan to Mar","Beach/Cliff","Sumburgh",0
"2021 Jan to Mar","Mountain","Caernarfon",5
"2021 Jan to Mar","Mountain","Humberside",1
"2021 Jan to Mar","Mountain","Inverness",11
"2021 Jan to Mar","Mountain","Lee On Solent",0
"2021 Jan to Mar","Mountain","Lydd",0
"2021 Jan to Mar","Mountain","Newquay",1
"2021 Jan to Mar","Mountain","Prestwick",12
"2021 Jan to Mar","Mountain","St Athan",4
"2021 Jan to Mar","Mountain","Stornoway",2
"2021 Jan to Mar","Mountain","Sumburgh",0
"2021 Jan to Mar","Other","Caernarfon",15
"2021 Jan to Mar","Other","Humberside",19
"2021 Jan to Mar","Other","Inverness",20
"2021 Jan to Mar","Other","Lee On Solent",27
"2021 Jan to Mar","Other","Lydd",19
"2021 Jan to Mar","Other","Newquay",28
"2021 Jan to Mar","Other","Prestwick",56
"2021 Jan to Mar","Other","St Athan",20
"2021 Jan to Mar","Other","Stornoway",25
"2021 Jan to Mar","Other","Sumburgh",29
"2021 Jan to Mar","Vessel","Caernarfon",4
"2021 Jan to Mar","Vessel","Humberside",5
"2021 Jan to Mar","Vessel","Inverness",4
"2021 Jan to Mar","Vessel","Lee On Solent",1
"2021 Jan to Mar","Vessel","Lydd",3
"2021 Jan to Mar","Vessel","Newquay",5
"2021 Jan to Mar","Vessel","Prestwick",3
"2021 Jan to Mar","Vessel","St Athan",2
"2021 Jan to Mar","Vessel","Stornoway",3
"2021 Jan to Mar","Vessel","Sumburgh",12
"2021 Apr to Jun","Beach/Cliff","Caernarfon",16
"2021 Apr to Jun","Beach/Cliff","Humberside",11
"2021 Apr to Jun","Beach/Cliff","Inverness",9
"2021 Apr to Jun","Beach/Cliff","Lee On Solent",24
"2021 Apr to Jun","Beach/Cliff","Lydd",30
"2021 Apr to Jun","Beach/Cliff","Newquay",22
"2021 Apr to Jun","Beach/Cliff","Prestwick",18
"2021 Apr to Jun","Beach/Cliff","St Athan",31
"2021 Apr to Jun","Beach/Cliff","Stornoway",5
"2021 Apr to Jun","Beach/Cliff","Sumburgh",1
"2021 Apr to Jun","Mountain","Caernarfon",39
"2021 Apr to Jun","Mountain","Humberside",2
"2021 Apr to Jun","Mountain","Inverness",35
"2021 Apr to Jun","Mountain","Lee On Solent",0
"2021 Apr to Jun","Mountain","Lydd",0
"2021 Apr to Jun","Mountain","Newquay",1
"2021 Apr to Jun","Mountain","Prestwick",30
"2021 Apr to Jun","Mountain","St Athan",10
"2021 Apr to Jun","Mountain","Stornoway",8
"2021 Apr to Jun","Mountain","Sumburgh",0
"2021 Apr to Jun","Other","Caernarfon",18
"2021 Apr to Jun","Other","Humberside",15
"2021 Apr to Jun","Other","Inverness",37
"2021 Apr to Jun","Other","Lee On Solent",30
"2021 Apr to Jun","Other","Lydd",16
"2021 Apr to Jun","Other","Newquay",32
"2021 Apr to Jun","Other","Prestwick",46
"2021 Apr to Jun","Other","St Athan",29
"2021 Apr to Jun","Other","Stornoway",18
"2021 Apr to Jun","Other","Sumburgh",32
"2021 Apr to Jun","Vessel","Caernarfon",6
"2021 Apr to Jun","Vessel","Humberside",12
"2021 Apr to Jun","Vessel","Inverness",5
"2021 Apr to Jun","Vessel","Lee On Solent",13
"2021 Apr to Jun","Vessel","Lydd",8
"2021 Apr to Jun","Vessel","Newquay",14
"2021 Apr to Jun","Vessel","Prestwick",10
"2021 Apr to Jun","Vessel","St Athan",8
"2021 Apr to Jun","Vessel","Stornoway",8
"2021 Apr to Jun","Vessel","Sumburgh",16
"2021 Jul to Sep","Beach/Cliff","Caernarfon",30
"2021 Jul to Sep","Beach/Cliff","Humberside",20
"2021 Jul to Sep","Beach/Cliff","Inverness",21
"2021 Jul to Sep","Beach/Cliff","Lee On Solent",34
"2021 Jul to Sep","Beach/Cliff","Lydd",50
"2021 Jul to Sep","Beach/Cliff","Newquay",36
"2021 Jul to Sep","Beach/Cliff","Prestwick",30
"2021 Jul to Sep","Beach/Cliff","St Athan",37
"2021 Jul to Sep","Beach/Cliff","Stornoway",12
"2021 Jul to Sep","Beach/Cliff","Sumburgh",1
"2021 Jul to Sep","Mountain","Caernarfon",77
"2021 Jul to Sep","Mountain","Humberside",3
"2021 Jul to Sep","Mountain","Inverness",74
"2021 Jul to Sep","Mountain","Lee On Solent",0
"2021 Jul to Sep","Mountain","Lydd",0
"2021 Jul to Sep","Mountain","Newquay",1
"2021 Jul to Sep","Mountain","Prestwick",44
"2021 Jul to Sep","Mountain","St Athan",13
"2021 Jul to Sep","Mountain","Stornoway",15
"2021 Jul to Sep","Mountain","Sumburgh",0
"2021 Jul to Sep","Other","Caernarfon",28
"2021 Jul to Sep","Other","Humberside",27
"2021 Jul to Sep","Other","Inverness",38
"2021 Jul to Sep","Other","Lee On Solent",31
"2021 Jul to Sep","Other","Lydd",32
"2021 Jul to Sep","Other","Newquay",44
"2021 Jul to Sep","Other","Prestwick",80
"2021 Jul to Sep","Other","St Athan",20
"2021 Jul to Sep","Other","Stornoway",26
"2021 Jul to Sep","Other","Sumburgh",45
"2021 Jul to Sep","Vessel","Caernarfon",6
"2021 Jul to Sep","Vessel","Humberside",11
"2021 Jul to Sep","Vessel","Inverness",2
"2021 Jul to Sep","Vessel","Lee On Solent",24
"2021 Jul to Sep","Vessel","Lydd",16
"2021 Jul to Sep","Vessel","Newquay",23
"2021 Jul to Sep","Vessel","Prestwick",10
"2021 Jul to Sep","Vessel","St Athan",9
"2021 Jul to Sep","Vessel","Stornoway",2
"2021 Jul to Sep","Vessel","Sumburgh",6
"2021 Oct to Dec","Beach/Cliff","Caernarfon",9
"2021 Oct to Dec","Beach/Cliff","Humberside",7
"2021 Oct to Dec","Beach/Cliff","Inverness",10
"2021 Oct to Dec","Beach/Cliff","Lee On Solent",14
"2021 Oct to Dec","Beach/Cliff","Lydd",17
"2021 Oct to Dec","Beach/Cliff","Newquay",16
"2021 Oct to Dec","Beach/Cliff","Prestwick",15
"2021 Oct to Dec","Beach/Cliff","St Athan",11
"2021 Oct to Dec","Beach/Cliff","Stornoway",2
"2021 Oct to Dec","Beach/Cliff","Sumburgh",1
"2021 Oct to Dec","Mountain","Caernarfon",28
"2021 Oct to Dec","Mountain","Humberside",6
"2021 Oct to Dec","Mountain","Inverness",20
"2021 Oct to Dec","Mountain","Lee On Solent",0
"2021 Oct to Dec","Mountain","Lydd",0
"2021 Oct to Dec","Mountain","Newquay",0
"2021 Oct to Dec","Mountain","Prestwick",13
"2021 Oct to Dec","Mountain","St Athan",2
"2021 Oct to Dec","Mountain","Stornoway",1
"2021 Oct to Dec","Mountain","Sumburgh",0
"2021 Oct to Dec","Other","Caernarfon",15
"2021 Oct to Dec","Other","Humberside",28
"2021 Oct to Dec","Other","Inverness",26
"2021 Oct to Dec","Other","Lee On Solent",40
"2021 Oct to Dec","Other","Lydd",31
"2021 Oct to Dec","Other","Newquay",42
"2021 Oct to Dec","Other","Prestwick",74
"2021 Oct to Dec","Other","St Athan",24
"2021 Oct to Dec","Other","Stornoway",27
"2021 Oct to Dec","Other","Sumburgh",32
"2021 Oct to Dec","Vessel","Caernarfon",5
"2021 Oct to Dec","Vessel","Humberside",10
"2021 Oct to Dec","Vessel","Inverness",5
"2021 Oct to Dec","Vessel","Lee On Solent",6
"2021 Oct to Dec","Vessel","Lydd",12
"2021 Oct to Dec","Vessel","Newquay",6
"2021 Oct to Dec","Vessel","Prestwick",1
"2021 Oct to Dec","Vessel","St Athan",2
"2021 Oct to Dec","Vessel","Stornoway",1
"2021 Oct to Dec","Vessel","Sumburgh",2
"2022 Jan to Mar","Beach/Cliff","Caernarfon",13
"2022 Jan to Mar","Beach/Cliff","Humberside",7
"2022 Jan to Mar","Beach/Cliff","Inverness",7
"2022 Jan to Mar","Beach/Cliff","Lee On Solent",16
"2022 Jan to Mar","Beach/Cliff","Lydd",16
"2022 Jan to Mar","Beach/Cliff","Newquay",15
"2022 Jan to Mar","Beach/Cliff","Prestwick",7
"2022 Jan to Mar","Beach/Cliff","St Athan",22
"2022 Jan to Mar","Beach/Cliff","Stornoway",3
"2022 Jan to Mar","Beach/Cliff","Sumburgh",0
"2022 Jan to Mar","Mountain","Caernarfon",29
"2022 Jan to Mar","Mountain","Humberside",3
"2022 Jan to Mar","Mountain","Inverness",36
"2022 Jan to Mar","Mountain","Lee On Solent",0
"2022 Jan to Mar","Mountain","Lydd",0
"2022 Jan to Mar","Mountain","Newquay",0
"2022 Jan to Mar","Mountain","Prestwick",27
"2022 Jan to Mar","Mountain","St Athan",12
"2022 Jan to Mar","Mountain","Stornoway",4
"2022 Jan to Mar","Mountain","Sumburgh",0
"2022 Jan to Mar","Other","Caernarfon",17
"2022 Jan to Mar","Other","Humberside",23
"2022 Jan to Mar","Other","Inverness",38
"2022 Jan to Mar","Other","Lee On Solent",25
"2022 Jan to Mar","Other","Lydd",21
"2022 Jan to Mar","Other","Newquay",36
"2022 Jan to Mar","Other","Prestwick",55
"2022 Jan to Mar","Other","St Athan",20
"2022 Jan to Mar","Other","Stornoway",24
"2022 Jan to Mar","Other","Sumburgh",30
"2022 Jan to Mar","Vessel","Caernarfon",1
"2022 Jan to Mar","Vessel","Humberside",11
"2022 Jan to Mar","Vessel","Inverness",3
"2022 Jan to Mar","Vessel","Lee On Solent",3
"2022 Jan to Mar","Vessel","Lydd",3
"2022 Jan to Mar","Vessel","Newquay",6
"2022 Jan to Mar","Vessel","Prestwick",3
"2022 Jan to Mar","Vessel","St Athan",0
"2022 Jan to Mar","Vessel","Stornoway",3
"2022 Jan to Mar","Vessel","Sumburgh",4
"2022 Apr to Jun","Beach/Cliff","Caernarfon",23
"2022 Apr to Jun","Beach/Cliff","Humberside",9
"2022 Apr to Jun","Beach/Cliff","Inverness",9
"2022 Apr to Jun","Beach/Cliff","Lee On Solent",25
"2022 Apr to Jun","Beach/Cliff","Lydd",30
"2022 Apr to Jun","Beach/Cliff","Newquay",23
"2022 Apr to Jun","Beach/Cliff","Prestwick",19
"2022 Apr to Jun","Beach/Cliff","St Athan",34
"2022 Apr to Jun","Beach/Cliff","Stornoway",8
"2022 Apr to Jun","Beach/Cliff","Sumburgh",4
"2022 Apr to Jun","Mountain","Caernarfon",37
"2022 Apr to Jun","Mountain","Humberside",2
"2022 Apr to Jun","Mountain","Inverness",42
"2022 Apr to Jun","Mountain","Lee On Solent",0
"2022 Apr to Jun","Mountain","Lydd",0
"2022 Apr to Jun","Mountain","Newquay",0
"2022 Apr to Jun","Mountain","Prestwick",27
"2022 Apr to Jun","Mountain","St Athan",3
"2022 Apr to Jun","Mountain","Stornoway",14
"2022 Apr to Jun","Mountain","Sumburgh",0
"2022 Apr to Jun","Other","Caernarfon",18
"2022 Apr to Jun","Other","Humberside",17
"2022 Apr to Jun","Other","Inverness",39
"2022 Apr to Jun","Other","Lee On Solent",29
"2022 Apr to Jun","Other","Lydd",22
"2022 Apr to Jun","Other","Newquay",48
"2022 Apr to Jun","Other","Prestwick",55
"2022 Apr to Jun","Other","St Athan",26
"2022 Apr to Jun","Other","Stornoway",32
"2022 Apr to Jun","Other","Sumburgh",44
"2022 Apr to Jun","Vessel","Caernarfon",11
"2022 Apr to Jun","Vessel","Humberside",14
"2022 Apr to Jun","Vessel","Inverness",9
"2022 Apr to Jun","Vessel","Lee On Solent",10
"2022 Apr to Jun","Vessel","Lydd",11
"2022 Apr to Jun","Vessel","Newquay",15
"2022 Apr to Jun","Vessel","Prestwick",11
"2022 Apr to Jun","Vessel","St Athan",8
"2022 Apr to Jun","Vessel","Stornoway",10
"2022 Apr to Jun","Vessel","Sumburgh",15
"2022 Jul to Sep","Beach/Cliff","Caernarfon",33
"2022 Jul to Sep","Beach/Cliff","Humberside",20
"2022 Jul to Sep","Beach/Cliff","Inverness",14
"2022 Jul to Sep","Beach/Cliff","Lee On Solent",30
"2022 Jul to Sep","Beach/Cliff","Lydd",43
"2022 Jul to Sep","Beach/Cliff","Newquay",26
"2022 Jul to Sep","Beach/Cliff","Prestwick",28
"2022 Jul to Sep","Beach/Cliff","St Athan",47
"2022 Jul to Sep","Beach/Cliff","Stornoway",11
"2022 Jul to Sep","Beach/Cliff","Sumburgh",1
"2022 Jul to Sep","Mountain","Caernarfon",54
"2022 Jul to Sep","Mountain","Humberside",1
