"year_quarter","Tasking_Location","base","score"
"2022 Jul to Sep","Mountain","Inverness",43
"2022 Jul to Sep","Mountain","Lee On Solent",0
"2022 Jul to Sep","Mountain","Lydd",0
"2022 Jul to Sep","Mountain","Newquay",0
"2022 Jul to Sep","Mountain","Prestwick",27
"2022 Jul to Sep","Mountain","St Athan",5
"2022 Jul to Sep","Mountain","Stornoway",7
"2022 Jul to Sep","Mountain","Sumburgh",0
"2022 Jul to Sep","Other","Caernarfon",31
"2022 Jul to Sep","Other","Humberside",31
"2022 Jul to Sep","Other","Inverness",37
"2022 Jul to Sep","Other","Lee On Solent",36
"2022 Jul to Sep","Other","Lydd",23
"2022 Jul to Sep","Other","Newquay",31
"2022 Jul to Sep","Other","Prestwick",55
"2022 Jul to Sep","Other","St Athan",27
"2022 Jul to Sep","Other","Stornoway",28
"2022 Jul to Sep","Other","Sumburgh",45
"2022 Jul to Sep","Vessel","Caernarfon",10
"2022 Jul to Sep","Vessel","Humberside",17
"2022 Jul to Sep","Vessel","Inverness",2
"2022 Jul to Sep","Vessel","Lee On Solent",9
"2022 Jul to Sep","Vessel","Lydd",17
"2022 Jul to Sep","Vessel","Newquay",20
"2022 Jul to Sep","Vessel","Prestwick",15
"2022 Jul to Sep","Vessel","St Athan",4
"2022 Jul to Sep","Vessel","Stornoway",9
"2022 Jul to Sep","Vessel","Sumburgh",8
"2022 Oct to Dec","Beach/Cliff","Caernarfon",5
"2022 Oct to Dec","Beach/Cliff","Humberside",11
"2022 Oct to Dec","Beach/Cliff","Inverness",2
"2022 Oct to Dec","Beach/Cliff","Lee On Solent",15
"2022 Oct to Dec","Beach/Cliff","Lydd",23
"2022 Oct to Dec","Beach/Cliff","Newquay",13
"2022 Oct to Dec","Beach/Cliff","Prestwick",5
"2022 Oct to Dec","Beach/Cliff","St Athan",14
"2022 Oct to Dec","Beach/Cliff","Stornoway",3
"2022 Oct to Dec","Beach/Cliff","Sumburgh",2
"2022 Oct to Dec","Mountain","Caernarfon",23
"2022 Oct to Dec","Mountain","Humberside",1
"2022 Oct to Dec","Mountain","Inverness",14
"2022 Oct to Dec","Mountain","Lee On Solent",0
"2022 Oct to Dec","Mountain","Lydd",0
"2022 Oct to Dec","Mountain","Newquay",0
"2022 Oct to Dec","Mountain","Prestwick",13
"2022 Oct to Dec","Mountain","St Athan",5
"2022 Oct to Dec","Mountain","Stornoway",2
"2022 Oct to Dec","Mountain","Sumburgh",0
"2022 Oct to Dec","Other","Caernarfon",28
"2022 Oct to Dec","Other","Humberside",19
"2022 Oct to Dec","Other","Inverness",38
"2022 Oct to Dec","Other","Lee On Solent",21
"2022 Oct to Dec","Other","Lydd",25
"2022 Oct to Dec","Other","Newquay",27
"2022 Oct to Dec","Other","Prestwick",52
"2022 Oct to Dec","Other","St Athan",20
"2022 Oct to Dec","Other","Stornoway",34
"2022 Oct to Dec","Other","Sumburgh",50
"2022 Oct to Dec","Vessel","Caernarfon",6
"2022 Oct to Dec","Vessel","Humberside",13
"2022 Oct to Dec","Vessel","Inverness",1
"2022 Oct to Dec","Vessel","Lee On Solent",6
"2022 Oct to Dec","Vessel","Lydd",8
"2022 Oct to Dec","Vessel","Newquay",7
"2022 Oct to Dec","Vessel","Prestwick",4
"2022 Oct to Dec","Vessel","St Athan",1
"2022 Oct to Dec","Vessel","Stornoway",3
"2022 Oct to Dec","Vessel","Sumburgh",8
"2023 Jan to Mar","Beach/Cliff","Caernarfon",7
"2023 Jan to Mar","Beach/Cliff","Humberside",6
"2023 Jan to Mar","Beach/Cliff","Inverness",4
"2023 Jan to Mar","Beach/Cliff","Lee On Solent",8
"2023 Jan to Mar","Beach/Cliff","Lydd",21
"2023 Jan to Mar","Beach/Cliff","Newquay",11
"2023 Jan to Mar","Beach/Cliff","Prestwick",9
"2023 Jan to Mar","Beach/Cliff","St Athan",13
"2023 Jan to Mar","Beach/Cliff","Stornoway",0
"2023 Jan to Mar","Beach/Cliff","Sumburgh",1
"2023 Jan to Mar","Mountain","Caernarfon",29
"2023 Jan to Mar","Mountain","Humberside",0
"2023 Jan to Mar","Mountain","Inverness",33
"2023 Jan to Mar","Mountain","Lee On Solent",0
"2023 Jan to Mar","Mountain","Lydd",0
"2023 Jan to Mar","Mountain","Newquay",0
"2023 Jan to Mar","Mountain","Prestwick",24
"2023 Jan to Mar","Mountain","St Athan",4
"2023 Jan to Mar","Mountain","Stornoway",7
"2023 Jan to Mar","Mountain","Sumburgh",0
"2023 Jan to Mar","Other","Caernarfon",18
"2023 Jan to Mar","Other","Humberside",18
"2023 Jan to Mar","Other","Inverness",24
"2023 Jan to Mar","Other","Lee On Solent",21
"2023 Jan to Mar","Other","Lydd",10
"2023 Jan to Mar","Other","Newquay",20
"2023 Jan to Mar","Other","Prestwick",51
"2023 Jan to Mar","Other","St Athan",14
"2023 Jan to Mar","Other","Stornoway",22
"2023 Jan to Mar","Other","Sumburgh",54
"2023 Jan to Mar","Vessel","Caernarfon",4
"2023 Jan to Mar","Vessel","Humberside",5
"2023 Jan to Mar","Vessel","Inverness",1
"2023 Jan to Mar","Vessel","Lee On Solent",4
"2023 Jan to Mar","Vessel","Lydd",0
"2023 Jan to Mar","Vessel","Newquay",8
"2023 Jan to Mar","Vessel","Prestwick",1
"2023 Jan to Mar","Vessel","St Athan",1
"2023 Jan to Mar","Vessel","Stornoway",2
"2023 Jan to Mar","Vessel","Sumburgh",5
"2023 Apr to Jun","Beach/Cliff","Caernarfon",9
"2023 Apr to Jun","Beach/Cliff","Humberside",11
"2023 Apr to Jun","Beach/Cliff","Inverness",19
"2023 Apr to Jun","Beach/Cliff","Lee On Solent",27
"2023 Apr to Jun","Beach/Cliff","Lydd",37
"2023 Apr to Jun","Beach/Cliff","Newquay",19
"2023 Apr to Jun","Beach/Cliff","Prestwick",11
"2023 Apr to Jun","Beach/Cliff","St Athan",29
"2023 Apr to Jun","Beach/Cliff","Stornoway",7
"2023 Apr to Jun","Beach/Cliff","Sumburgh",2
"2023 Apr to Jun","Mountain","Caernarfon",48
"2023 Apr to Jun","Mountain","Humberside",5
"2023 Apr to Jun","Mountain","Inverness",31
"2023 Apr to Jun","Mountain","Lee On Solent",0
"2023 Apr to Jun","Mountain","Lydd",0
"2023 Apr to Jun","Mountain","Newquay",0
"2023 Apr to Jun","Mountain","Prestwick",36
"2023 Apr to Jun","Mountain","St Athan",12
"2023 Apr to Jun","Mountain","Stornoway",12
"2023 Apr to Jun","Mountain","Sumburgh",0
"2023 Apr to Jun","Other","Caernarfon",28
"2023 Apr to Jun","Other","Humberside",26
"2023 Apr to Jun","Other","Inverness",35
"2023 Apr to Jun","Other","Lee On Solent",23
"2023 Apr to Jun","Other","Lydd",23
"2023 Apr to Jun","Other","Newquay",43
"2023 Apr to Jun","Other","Prestwick",55
"2023 Apr to Jun","Other","St Athan",36
"2023 Apr to Jun","Other","Stornoway",16
"2023 Apr to Jun","Other","Sumburgh",38
"2023 Apr to Jun","Vessel","Caernarfon",3
"2023 Apr to Jun","Vessel","Humberside",5
"2023 Apr to Jun","Vessel","Inverness",7
"2023 Apr to Jun","Vessel","Lee On Solent",7
"2023 Apr to Jun","Vessel","Lydd",11
"2023 Apr to Jun","Vessel","Newquay",12
"2023 Apr to Jun","Vessel","Prestwick",5
"2023 Apr to Jun","Vessel","St Athan",4
"2023 Apr to Jun","Vessel","Stornoway",7
"2023 Apr to Jun","Vessel","Sumburgh",7
"2023 Jul to Sep","Beach/Cliff","Caernarfon",33
"2023 Jul to Sep","Beach/Cliff","Humberside",16
"2023 Jul to Sep","Beach/Cliff","Inverness",19
"2023 Jul to Sep","Beach/Cliff","Lee On Solent",31
"2023 Jul to Sep","Beach/Cliff","Lydd",41
"2023 Jul to Sep","Beach/Cliff","Newquay",36
"2023 Jul to Sep","Beach/Cliff","Prestwick",15
"2023 Jul to Sep","Beach/Cliff","St Athan",44
"2023 Jul to Sep","Beach/Cliff","Stornoway",7
"2023 Jul to Sep","Beach/Cliff","Sumburgh",2
"2023 Jul to Sep","Mountain","Caernarfon",52
"2023 Jul to Sep","Mountain","Humberside",5
"2023 Jul to Sep","Mountain","Inverness",39
"2023 Jul to Sep","Mountain","Lee On Solent",0
"2023 Jul to Sep","Mountain","Lydd",0
"2023 Jul to Sep","Mountain","Newquay",0
"2023 Jul to Sep","Mountain","Prestwick",25
"2023 Jul to Sep","Mountain","St Athan",7
"2023 Jul to Sep","Mountain","Stornoway",13
"2023 Jul to Sep","Mountain","Sumburgh",0
"2023 Jul to Sep","Other","Caernarfon",18
"2023 Jul to Sep","Other","Humberside",32
"2023 Jul to Sep","Other","Inverness",31
"2023 Jul to Sep","Other","Lee On Solent",29
"2023 Jul to Sep","Other","Lydd",25
"2023 Jul to Sep","Other","Newquay",50
"2023 Jul to Sep","Other","Prestwick",56
"2023 Jul to Sep","Other","St Athan",30
"2023 Jul to Sep","Other","Stornoway",26
"2023 Jul to Sep","Other","Sumburgh",46
"2023 Jul to Sep","Vessel","Caernarfon",9
"2023 Jul to Sep","Vessel","Humberside",12
"2023 Jul to Sep","Vessel","Inverness",7
"2023 Jul to Sep","Vessel","Lee On Solent",25
"2023 Jul to Sep","Vessel","Lydd",12
"2023 Jul to Sep","Vessel","Newquay",23
"2023 Jul to Sep","Vessel","Prestwick",15
"2023 Jul to Sep","Vessel","St Athan",11
"2023 Jul to Sep","Vessel","Stornoway",11
"2023 Jul to Sep","Vessel","Sumburgh",10
"2023 Oct to Dec","Beach/Cliff","Caernarfon",8
"2023 Oct to Dec","Beach/Cliff","Humberside",10
"2023 Oct to Dec","Beach/Cliff","Inverness",3
"2023 Oct to Dec","Beach/Cliff","Lee On Solent",15
"2023 Oct to Dec","Beach/Cliff","Lydd",28
"2023 Oct to Dec","Beach/Cliff","Newquay",10
"2023 Oct to Dec","Beach/Cliff","Prestwick",13
"2023 Oct to Dec","Beach/Cliff","St Athan",25
"2023 Oct to Dec","Beach/Cliff","Stornoway",2
"2023 Oct to Dec","Beach/Cliff","Sumburgh",0
"2023 Oct to Dec","Mountain","Caernarfon",31
"2023 Oct to Dec","Mountain","Humberside",2
"2023 Oct to Dec","Mountain","Inverness",12
"2023 Oct to Dec","Mountain","Lee On Solent",0
"2023 Oct to Dec","Mountain","Lydd",0
"2023 Oct to Dec","Mountain","Newquay",0
"2023 Oct to Dec","Mountain","Prestwick",16
"2023 Oct to Dec","Mountain","St Athan",4
"2023 Oct to Dec","Mountain","Stornoway",4
"2023 Oct to Dec","Mountain","Sumburgh",0
"2023 Oct to Dec","Other","Caernarfon",17
"2023 Oct to Dec","Other","Humberside",20
"2023 Oct to Dec","Other","Inverness",42
"2023 Oct to Dec","Other","Lee On Solent",29
"2023 Oct to Dec","Other","Lydd",18
"2023 Oct to Dec","Other","Newquay",33
"2023 Oct to Dec","Other","Prestwick",63
"2023 Oct to Dec","Other","St Athan",22
"2023 Oct to Dec","Other","Stornoway",33
"2023 Oct to Dec","Other","Sumburgh",41
"2023 Oct to Dec","Vessel","Caernarfon",4
"2023 Oct to Dec","Vessel","Humberside",7
"2023 Oct to Dec","Vessel","Inverness",4
"2023 Oct to Dec","Vessel","Lee On Solent",7
"2023 Oct to Dec","Vessel","Lydd",4
"2023 Oct to Dec","Vessel","Newquay",10
"2023 Oct to Dec","Vessel","Prestwick",5
"2023 Oct to Dec","Vessel","St Athan",2
"2023 Oct to Dec","Vessel","Stornoway",3
"2023 Oct to Dec","Vessel","Sumburgh",12
"2024 Jan to Mar","Beach/Cliff","Caernarfon",13
"2024 Jan to Mar","Beach/Cliff","Humberside",12
"2024 Jan to Mar","Beach/Cliff","Inverness",8
"2024 Jan to Mar","Beach/Cliff","Lee On Solent",18
"2024 Jan to Mar","Beach/Cliff","Lydd",27
"2024 Jan to Mar","Beach/Cliff","Newquay",17
"2024 Jan to Mar","Beach/Cliff","Prestwick",8
"2024 Jan to Mar","Beach/Cliff","St Athan",23
"2024 Jan to Mar","Beach/Cliff","Stornoway",3
"2024 Jan to Mar","Beach/Cliff","Sumburgh",3
"2024 Jan to Mar","Mountain","Caernarfon",28
"2024 Jan to Mar","Mountain","Humberside",6
"2024 Jan to Mar","Mountain","Inverness",15
"2024 Jan to Mar","Mountain","Lee On Solent",0
"2024 Jan to Mar","Mountain","Lydd",0
"2024 Jan to Mar","Mountain","Newquay",0
"2024 Jan to Mar","Mountain","Prestwick",31
"2024 Jan to Mar","Mountain","St Athan",10
"2024 Jan to Mar","Mountain","Stornoway",4
"2024 Jan to Mar","Mountain","Sumburgh",0
"2024 Jan to Mar","Other","Caernarfon",28
"2024 Jan to Mar","Other","Humberside",20
"2024 Jan to Mar","Other","Inverness",46
"2024 Jan to Mar","Other","Lee On Solent",35
"2024 Jan to Mar","Other","Lydd",10
"2024 Jan to Mar","Other","Newquay",42
"2024 Jan to Mar","Other","Prestwick",44
"2024 Jan to Mar","Other","St Athan",19
"2024 Jan to Mar","Other","Stornoway",30
"2024 Jan to Mar","Other","Sumburgh",58
"2024 Jan to Mar","Vessel","Caernarfon",2
"2024 Jan to Mar","Vessel","Humberside",7
"2024 Jan to Mar","Vessel","Inverness",3
"2024 Jan to Mar","Vessel","Lee On Solent",4
"2024 Jan to Mar","Vessel","Lydd",5
"2024 Jan to Mar","Vessel","Newquay",12
"2024 Jan to Mar","Vessel","Prestwick",4
"2024 Jan to Mar","Vessel","St Athan",3
"2024 Jan to Mar","Vessel","Stornoway",3
"2024 Jan to Mar","Vessel","Sumburgh",6
"2024 Apr to Jun","Beach/Cliff","Caernarfon",20
"2024 Apr to Jun","Beach/Cliff","Humberside",14
"2024 Apr to Jun","Beach/Cliff","Inverness",9
"2024 Apr to Jun","Beach/Cliff","Lee On Solent",23
"2024 Apr to Jun","Beach/Cliff","Lydd",30
"2024 Apr to Jun","Beach/Cliff","Newquay",21
"2024 Apr to Jun","Beach/Cliff","Prestwick",17
"2024 Apr to Jun","Beach/Cliff","St Athan",29
"2024 Apr to Jun","Beach/Cliff","Stornoway",10
"2024 Apr to Jun","Beach/Cliff","Sumburgh",1
"2024 Apr to Jun","Mountain","Caernarfon",31
"2024 Apr to Jun","Mountain","Humberside",5
"2024 Apr to Jun","Mountain","Inverness",35
"2024 Apr to Jun","Mountain","Lee On Solent",0
"2024 Apr to Jun","Mountain","Lydd",0
"2024 Apr to Jun","Mountain","Newquay",0
"2024 Apr to Jun","Mountain","Prestwick",33
"2024 Apr to Jun","Mountain","St Athan",7
"2024 Apr to Jun","Mountain","Stornoway",22
"2024 Apr to Jun","Mountain","Sumburgh",0
"2024 Apr to Jun","Other","Caernarfon",24
"2024 Apr to Jun","Other","Humberside",30
"2024 Apr to Jun","Other","Inverness",37
"2024 Apr to Jun","Other","Lee On Solent",30
"2024 Apr to Jun","Other","Lydd",48
"2024 Apr to Jun","Other","Newquay",56
"2024 Apr to Jun","Other","Prestwick",80
"2024 Apr to Jun","Other","St Athan",34
"2024 Apr to Jun","Other","Stornoway",31
"2024 Apr to Jun","Other","Sumburgh",47
"2024 Apr to Jun","Vessel","Caernarfon",4
"2024 Apr to Jun","Vessel","Humberside",9
"2024 Apr to Jun","Vessel","Inverness",6
"2024 Apr to Jun","Vessel","Lee On Solent",12
"2024 Apr to Jun","Vessel","Lydd",9
"2024 Apr to Jun","Vessel","Newquay",15
"2024 Apr to Jun","Vessel","Prestwick",6
"2024 Apr to Jun","Vessel","St Athan",9
"2024 Apr to Jun","Vessel","Stornoway",6
"2024 Apr to Jun","Vessel","Sumburgh",13
"2024 Jul to Sep","Beach/Cliff","Caernarfon",18
"2024 Jul to Sep","Beach/Cliff","Humberside",20
"2024 Jul to Sep","Beach/Cliff","Inverness",14
"2024 Jul to Sep","Beach/Cliff","Lee On Solent",44
"2024 Jul to Sep","Beach/Cliff","Lydd",39
"2024 Jul to Sep","Beach/Cliff","Newquay",26
"2024 Jul to Sep","Beach/Cliff","Prestwick",21
"2024 Jul to Sep","Beach/Cliff","St Athan",43
"2024 Jul to Sep","Beach/Cliff","Stornoway",6
"2024 Jul to Sep","Beach/Cliff","Sumburgh",0
"2024 Jul to Sep","Mountain","Caernarfon",63
"2024 Jul to Sep","Mountain","Humberside",6
"2024 Jul to Sep","Mountain","Inverness",43
"2024 Jul to Sep","Mountain","Lee On Solent",0
"2024 Jul to Sep","Mountain","Lydd",0
"2024 Jul to Sep","Mountain","Newquay",0
"2024 Jul to Sep","Mountain","Prestwick",34
"2024 Jul to Sep","Mountain","St Athan",8
"2024 Jul to Sep","Mountain","Stornoway",18
"2024 Jul to Sep","Mountain","Sumburgh",0
"2024 Jul to Sep","Other","Caernarfon",40
"2024 Jul to Sep","Other","Humberside",28
"2024 Jul to Sep","Other","Inverness",44
"2024 Jul to Sep","Other","Lee On Solent",36
"2024 Jul to Sep","Other","Lydd",26
"2024 Jul to Sep","Other","Newquay",54
"2024 Jul to Sep","Other","Prestwick",61
"2024 Jul to Sep","Other","St Athan",28
"2024 Jul to Sep","Other","Stornoway",31
"2024 Jul to Sep","Other","Sumburgh",46
"2024 Jul to Sep","Vessel","Caernarfon",11
"2024 Jul to Sep","Vessel","Humberside",7
"2024 Jul to Sep","Vessel","Inverness",7
"2024 Jul to Sep","Vessel","Lee On Solent",24
"2024 Jul to Sep","Vessel","Lydd",14
"2024 Jul to Sep","Vessel","Newquay",11
"2024 Jul to Sep","Vessel","Prestwick",10
"2024 Jul to Sep","Vessel","St Athan",9
"2024 Jul to Sep","Vessel","Stornoway",13
"2024 Jul to Sep","Vessel","Sumburgh",9
"2024 Oct to Dec","Beach/Cliff","Caernarfon",8
"2024 Oct to Dec","Beach/Cliff","Humberside",9
"2024 Oct to Dec","Beach/Cliff","Inverness",6
"2024 Oct to Dec","Beach/Cliff","Lee On Solent",18
"2024 Oct to Dec","Beach/Cliff","Lydd",29
"2024 Oct to Dec","Beach/Cliff","Newquay",13
"2024 Oct to Dec","Beach/Cliff","Prestwick",12
"2024 Oct to Dec","Beach/Cliff","St Athan",17
"2024 Oct to Dec","Beach/Cliff","Stornoway",1
"2024 Oct to Dec","Beach/Cliff","Sumburgh",1
"2024 Oct to Dec","Mountain","Caernarfon",14
"2024 Oct to Dec","Mountain","Humberside",2
"2024 Oct to Dec","Mountain","Inverness",11
"2024 Oct to Dec","Mountain","Lee On Solent",0
"2024 Oct to Dec","Mountain","Lydd",0
"2024 Oct to Dec","Mountain","Newquay",1
"2024 Oct to Dec","Mountain","Prestwick",24
"2024 Oct to Dec","Mountain","St Athan",3
"2024 Oct to Dec","Mountain","Stornoway",3
"2024 Oct to Dec","Mountain","Sumburgh",0
"2024 Oct to Dec","Other","Caernarfon",32
"2024 Oct to Dec","Other","Humberside",29
"2024 Oct to Dec","Other","Inverness",52
"2024 Oct to Dec","Other","Lee On Solent",31
"2024 Oct to Dec","Other","Lydd",22
"2024 Oct to Dec","Other","Newquay",48
"2024 Oct to Dec","Other","Prestwick",65
"2024 Oct to Dec","Other","St Athan",39
"2024 Oct to Dec","Other","Stornoway",33
"2024 Oct to Dec","Other","Sumburgh",42
"2024 Oct to Dec","Vessel","Caernarfon",0
"2024 Oct to Dec","Vessel","Humberside",10
"2024 Oct to Dec","Vessel","Inverness",4
"2024 Oct to Dec","Vessel","Lee On Solent",5
"2024 Oct to Dec","Vessel","Lydd",3
"2024 Oct to Dec","Vessel","Newquay",6
"2024 Oct to Dec","Vessel","Prestwick",4
"2024 Oct to Dec","Vessel","St Athan",2
"2024 Oct to Dec","Vessel","Stornoway",4
"2024 Oct to Dec","Vessel","Sumburgh",5
"2025 Jan to Mar","Beach/Cliff","Caernarfon",13
"2025 Jan to Mar","Beach/Cliff","Humberside",11
"2025 Jan to Mar","Beach/Cliff","Inverness",7
"2025 Jan to Mar","Beach/Cliff","Lee On Solent",15
"2025 Jan to Mar","Beach/Cliff","Lydd",17
"2025 Jan to Mar","Beach/Cliff","Newquay",15
"2025 Jan to Mar","Beach/Cliff","Prestwick",11
"2025 Jan to Mar","Beach/Cliff","St Athan",12
"2025 Jan to Mar","Beach/Cliff","Stornoway",4
"2025 Jan to Mar","Beach/Cliff","Sumburgh",0
"2025 Jan to Mar","Mountain","Caernarfon",27
"2025 Jan to Mar","Mountain","Humberside",4
"2025 Jan to Mar","Mountain","Inverness",21
"2025 Jan to Mar","Mountain","Lee On Solent",0
"2025 Jan to Mar","Mountain","Lydd",0
"2025 Jan to Mar","Mountain","Newquay",0
"2025 Jan to Mar","Mountain","Prestwick",20
"2025 Jan to Mar","Mountain","St Athan",10
"2025 Jan to Mar","Mountain","Stornoway",12
"2025 Jan to Mar","Mountain","Sumburgh",1
"2025 Jan to Mar","Other","Caernarfon",18
"2025 Jan to Mar","Other","Humberside",34
"2025 Jan to Mar","Other","Inverness",26
"2025 Jan to Mar","Other","Lee On Solent",18
"2025 Jan to Mar","Other","Lydd",16
"2025 Jan to Mar","Other","Newquay",38
"2025 Jan to Mar","Other","Prestwick",50
"2025 Jan to Mar","Other","St Athan",20
"2025 Jan to Mar","Other","Stornoway",18
"2025 Jan to Mar","Other","Sumburgh",40
"2025 Jan to Mar","Vessel","Caernarfon",2
"2025 Jan to Mar","Vessel","Humberside",9
"2025 Jan to Mar","Vessel","Inverness",4
"2025 Jan to Mar","Vessel","Lee On Solent",4
"2025 Jan to Mar","Vessel","Lydd",5
"2025 Jan to Mar","Vessel","Newquay",4
"2025 Jan to Mar","Vessel","Prestwick",2
"2025 Jan to Mar","Vessel","St Athan",1
"2025 Jan to Mar","Vessel","Stornoway",4
"2025 Jan to Mar","Vessel","Sumburgh",3
